,name,Fe_tot,Fe_carb,Fe_ox,Fe_mag,Fe_py,d34S,d34S_err,category,height,MB_bed,MB_lithology,py_index,fossil_index,biodiversity,phi,description,Fe_HR,Fe_UR,HR_to_tot,py_to_HR,py_to_tot,H2S_decay,Fe_py_err,Fe_ox_err,Fe_mag_err,Fe_carb_err,Fe_tot_err,Fe_HR_err,Fe_UR_err,HR_to_tot_err,py_to_HR_err,py_to_tot_err
20,KC-2-14.5,4.638999999999999,1.11,0.21,0.66,1.27,-12.59308545692758,1.0229736396542604,Mudstone,11.66,22,Dark grey - greenish black - olive black laminated shale,1.0,4,3,4,Some ~2mm thick lags of shell fragments (and black mica/graphite flakes?) up to 1mm. Other ~3mm layers containing ~40% Isocyprina shells (calcite or full pyrite). Red 'nodules' Poor undulose lam ,3.25,1.3889999999999993,0.7005820219874974,0.39076923076923076,0.2737658978228067,0.7874015748031495,0.03302,0.00924,0.029040000000000003,0.059940000000000014,0.34792499999999993,0.07491210316097127,0.3558983405763505,0.05496911762465036,0.013577737167122152,0.021731218987309328
21,KC-2-15,2.8569999999999998,0.23,0.08,0.03,0.96,-17.675964773254076,1.0229736396542604,Mudstone,12.2,23,Med. dark - dark grey shale,0.0,2,1,6,Coarse flakey lam. Sparse Isocyprina fossils. Patches of 0.5mm shell fragments.,1.2999999999999998,1.557,0.45502275113755686,0.7384615384615385,0.33601680084004204,1.0416666666666667,0.02496,0.0035200000000000006,0.00132,0.012420000000000002,0.21427499999999997,0.028131668987104196,0.21611378120101454,0.035518828155801936,0.02498007654891999,0.026672623363762672
22,KC-2-15.5,4.723,1.08,0.35,0.66,1.49,-21.379491938752988,1.0229736396542604,Mudstone,12.78,23,Med. dark - dark grey shale,1.0,3,1,6,Contains ~10% calcite Isocyprina fossils,3.58,1.1429999999999998,0.7579928011856871,0.41620111731843573,0.3154774507728139,0.6711409395973155,0.038740000000000004,0.0154,0.029040000000000003,0.05832000000000001,0.35422499999999996,0.07734656812037624,0.3625711547062176,0.05916124873271536,0.014069716101178166,0.02504223361208939
23,KC-2-16,5.9270000000000005,1.52,1.0,1.21,1.66,-21.62318297422764,1.0229736396542604,Mudstone,13.28,24,Dark grey - greenish black - olive black laminated shale,4.0,3,2,4,"Resistant, red colouring. 0.1~0.4 mm shell fragments. ~1cm Isocyprina shells (rusty) ",5.39,0.5370000000000008,0.9093976716720094,0.3079777365491651,0.28007423654462626,0.6024096385542169,0.043160000000000004,0.044000000000000004,0.05324,0.08208000000000001,0.444525,0.11563048732925069,0.45931784771005796,0.07094014045081211,0.010381279421120755,0.022231967587848008
24,KC-2-17,2.767,0.28,0.09,0.04,0.81,-18.513027171763696,1.0229736396542604,Mudstone,13.69,25,Med. dark - dark grey shale,0.0,2,1,6,Poor // lam. Sparse calcite Isocyprina ,1.22,1.547,0.4409107336465486,0.6639344262295083,0.2927358149620528,1.2345679012345678,0.021060000000000002,0.00396,0.0017600000000000003,0.015120000000000003,0.207525,0.026285303878783677,0.20918303665689528,0.03440573475420412,0.022418985299888127,0.023237028976071664
25,KC-2-18,7.421,1.97,0.24,2.27,1.21,-25.1191264060017,1.0229736396542604,Mudstone,14.12,26,Dark grey - greenish black - olive black laminated shale,4.0,4,2,4,"~30% VF sand shell fragments and black flakes. Resistant, Sparce Isocyprina and ammonites (as cream calcite).",5.69,1.7309999999999999,0.7667430265462876,0.2126537785588752,0.16305080177873602,0.8264462809917356,0.03146,0.01056,0.09988000000000001,0.10638000000000002,0.556575,0.1496461292516449,0.5763416474843719,0.06093886203659432,0.007864401216309812,0.012942783260037205
26,KC-2-19,2.861,0.31,0.08,0.11,1.0,-21.654126699576107,1.0229736396542604,Mudstone,14.67,27,Med. dark - dark grey shale,0.0,1,1,7,flaky lamination. Sparse 0.1~1mm shell fragments.,1.5,1.3610000000000002,0.5242922055225445,0.6666666666666666,0.34952813701502966,1.0,0.026000000000000002,0.0035200000000000006,0.0048400000000000006,0.01674,0.21457500000000002,0.031496723639134284,0.2168743281833975,0.04083394320496007,0.02228011835861906,0.027745137535779285
27,KC-2-20,5.94,1.73,0.47,1.53,1.14,-19.72069377411631,1.0229736396542604,Mudstone,15.12,28,Dark grey - greenish black - olive black laminated shale,3.0,2,3,6,~5% VF sand shell fragments. Sparse calcite Isocyprina and a pyrite oyster (removed),4.87,1.0700000000000003,0.8198653198653199,0.23408624229979463,0.19191919191919188,0.8771929824561404,0.02964,0.02068,0.06732,0.09342000000000002,0.4455,0.12068749230968387,0.46155792789204697,0.06475970224534494,0.008408027523307085,0.015234322538458848
28,KC-2-21,2.95,0.29,0.07,0.02,1.18,-20.31707851682533,1.0229736396542604,Mudstone,15.61,30,Dark grey - greenish black - olive black laminated shale,1.0,1,2,7,"Sparse, slightly broken Isocyprina",1.56,1.3900000000000001,0.5288135593220339,0.7564102564102564,0.39999999999999997,0.8474576271186441,0.030680000000000002,0.0030800000000000007,0.0008800000000000001,0.01566,0.22125,0.03459420182631766,0.22393820866480113,0.04135837558772571,0.02584848523038181,0.031751535395945815
29,KC-2-21.5,3.886,0.58,0.34,0.53,0.89,-19.67035559321109,1.0229736396542604,Mudstone,16.21,30,Dark grey - greenish black - olive black laminated shale,2.0,2,4,6,~20% VF sand shell fragments and black flakes. ~5% calcite Isocyprina and ammonite fragments. ~0.3 mm Pyrite 'Framboids'?,2.34,1.5460000000000003,0.602161605764282,0.3803418803418804,0.22902727740607307,1.1235955056179776,0.02314,0.014960000000000003,0.023320000000000004,0.03132,0.29145,0.04779148459715392,0.29534239197920775,0.04680669979235732,0.01257504812550248,0.018179919262990077
30,KC-2-22,5.48,1.01,1.94,0.49,1.33,-14.171769522925365,1.0229736396542604,Mudstone,17.01,31,Med. dark - dark grey shale,2.0,3,2,5,Some grains are rusty orange. Contains ~5% calcite Isocyprina and ammonite fragments. Poor // lamination,4.7700000000000005,0.71,0.8704379562043796,0.27882599580712786,0.24270072992700728,0.7518796992481203,0.03458000000000001,0.08536,0.021560000000000003,0.054540000000000005,0.41100000000000003,0.10918585622689417,0.4252558655680131,0.06825564327870201,0.009658644533189657,0.019265302042248144
31,KC-2-22p,9.942,2.44,1.72,0.48,4.71,-6.815933729464843,1.0229736396542604,Pervasively pyritised regions,17.01,31,Med. dark - dark grey shale,4.0,4,2,5,,9.350000000000001,0.5919999999999987,0.9404546368939852,0.5037433155080213,0.47374773687386845,0.21231422505307856,0.12246000000000001,0.07568000000000001,0.02112,0.13176000000000002,0.74565,0.19629229735269801,0.77105420594145,0.07324530260107463,0.01683392916968584,0.03760554509024965
32,KC-2-23,3.695,0.48,0.27,0.17,1.18,-20.65241682119684,1.0229736396542604,Mudstone,17.42,32,Greyish black - brownish black mudstone,2.0,3,1,6,~1mm flakey lamination. ~3% rusty calcite Isocyprina,2.1,1.5949999999999998,0.5683355886332883,0.5619047619047619,0.3193504736129905,0.8474576271186441,0.030680000000000002,0.011880000000000002,0.007480000000000001,0.025920000000000002,0.27712499999999995,0.042546369997921094,0.2803720014997931,0.04415303588764119,0.018521345330663984,0.025349669666587322
33,KC-2-24,4.531000000000001,0.93,0.24,0.6,1.49,-22.35892252010089,1.0229736396542604,Mudstone,18.21,33,Med. dark grey - greenish black shale,3.0,3,2,6,"~3% white calcite Isocyprina. A few 0.5mm echinoderm ossicles, with pyrite preserving stereom while it is lost in underlying calcite (photo) Good x-lam",3.26,1.2710000000000008,0.7194879717501654,0.4570552147239264,0.32884572941955414,0.6711409395973155,0.038740000000000004,0.01056,0.026400000000000003,0.05022000000000001,0.33982500000000004,0.06950762260356774,0.34686069282206083,0.05609976602174385,0.015368207178796667,0.026103392043676486
34,KC-2-25,3.3819999999999997,0.38,0.08,0.02,1.56,-22.212579979994363,1.0229736396542604,Mudstone,18.98,34,Greyish black - brownish black mudstone,0.0,1,1,6,Contains ~5% VF sand shell fragments. Sparse infaunal bivlalves (white calcite),2.04,1.3419999999999996,0.6031933767001775,0.7647058823529412,0.46126552335895926,0.641025641025641,0.040560000000000006,0.0035200000000000006,0.0008800000000000001,0.020520000000000004,0.25365,0.04559987719281709,0.2577162612254027,0.04720600494863718,0.026220060709700004,0.03661472147965367
35,KC-2-25.5,3.707,0.56,0.3,0.08,1.76,-20.64156649182637,1.0229736396542604,Mudstone,19.33,35,Med. dark grey - greenish black shale,2.0,1,1,7,~1mm flakey lamination. Some bands of fine sand shell fragments. Rusty aragonite Isocyprina shells,2.7,1.0069999999999997,0.7283517669274346,0.6518518518518518,0.47477744807121663,0.5681818181818182,0.04576,0.013200000000000002,0.0035200000000000006,0.030240000000000006,0.27802499999999997,0.056524911322354154,0.28371282351173344,0.056714618081611295,0.021759363585589716,0.037687282369075155
36,KC-2-26,5.058,0.84,0.84,1.18,0.91,-18.04622128606725,1.0229736396542604,Mudstone,19.73,36,Greyish black - brownish black mudstone,3.0,4,1,4,"~20% shell fragments and black flakes. Unidentified orange-white calcite shells, probably with oxidised pyrite underneath.",3.77,1.2879999999999998,0.7453538948200871,0.2413793103448276,0.17991300909450378,1.0989010989010988,0.023660000000000004,0.03696,0.05192,0.045360000000000004,0.37934999999999997,0.08172547460859436,0.3880534443862082,0.05818979791070005,0.008171069192567246,0.014281285691138146
37,KC-2-26.5,3.127,0.29,0.06,0.02,1.4,-25.62685414592097,1.0229736396542604,Mudstone,20.16,37,Med. dark grey - greenish black shale,,0,0,6,"Coarse flakey lamination, poor undulose lamination. Rare shell fragments.",1.77,1.3569999999999998,0.5660377358490567,0.7909604519774011,0.4477134633834346,0.7142857142857143,0.0364,0.00264,0.0008800000000000001,0.01566,0.23452499999999998,0.03972328788003329,0.23786533001889953,0.04431272030411857,0.02716655434526281,0.03553897469965154
38,KC-2-27,8.095,1.42,0.32,1.8,1.19,-22.271436051976906,1.0229736396542604,Mudstone,20.84,37,Med. dark grey - greenish black shale,1.0,2,2,6,"Sparse 0.05 ~ 1mm shell fragments. White calcite Isocyprina and some ammonites. Rare, tiny free pyrite crystals. Coarse flakey lam",4.73,3.365,0.5843113032736257,0.2515856236786469,0.14700432365657812,0.8403361344537815,0.030940000000000002,0.014080000000000002,0.0792,0.07668000000000001,0.607125,0.11536027219107974,0.6179876681819793,0.04608222293790371,0.008968688515833443,0.011669032464847288
39,KC-2-28,5.797999999999999,1.32,0.43,1.05,1.6,-21.432844873133224,1.0229736396542604,Mudstone,21.44,38,Greyish black - brownish black mudstone,0.0,3,2,6,"Coarse, flakey lamination. Some layers up to ~20% cream/ orange calcite Isocyprina and ammonite fragments. ",4.4,1.3979999999999988,0.7588823732321492,0.36363636363636365,0.27595722662987243,0.625,0.041600000000000005,0.018920000000000003,0.046200000000000005,0.07128000000000001,0.4348499999999999,0.09645623256171683,0.4454192713612647,0.05929765472957189,0.012366675721347569,0.021905164122763592
40,KC-2-29,3.109,0.62,0.21,0.06,1.27,-12.77728557398385,1.0229736396542604,Mudstone,21.77,39,Med. dark grey - greenish black shale,0.0,3,1,5,"Coarse, flakey lamination. Some layers up to ~20% cream/ orange calcite Isocyprina",2.16,0.9489999999999998,0.6947571566420071,0.5879629629629629,0.4084914763589579,0.7874015748031495,0.03302,0.00924,0.00264,0.03348,0.233175,0.047995603965363336,0.23806335002473605,0.054345540454930966,0.0201091646411802,0.032425578926384035
41,KC-2-30,2.675,2.13,0.49,0.02,0.04,,,Carbonate,22.21,40,Dolostone,,0,0,5,"Very resistant grey dolostone, weathering yellow-orange.",2.68,-0.0050000000000003375,1.0018691588785047,0.014925373134328358,0.014953271028037384,25.0,0.0010400000000000001,0.021560000000000003,0.0008800000000000001,0.11502000000000001,0.20062499999999997,0.1170311496995565,0.23226424741014273,0.08694887525954745,0.0007585443889375011,0.0011869732858297503
42,KC-3-A,4.593,1.14,0.18,0.51,2.12,-12.103985940492079,1.0229736396542604,Bed 22,11.66,22,Dark grey - greenish black - olive black laminated shale,1.0,4,1,4,,3.95,0.6429999999999998,0.8600043544524276,0.5367088607594936,0.46157195732636624,0.4716981132075471,0.05512000000000001,0.00792,0.02244,0.061560000000000004,0.344475,0.08598911559028853,0.3550452839075602,0.06716246729510524,0.018199944010407098,0.03663904585206028
43,KC-3-B,5.122000000000001,2.13,0.34,0.95,1.52,-12.984350820836742,1.0229736396542604,Bed 22,11.66,22,Dark grey - greenish black - olive black laminated shale,2.0,3,1,4,,4.9399999999999995,0.18200000000000127,0.9644670050761419,0.3076923076923077,0.29675907848496674,0.6578947368421053,0.039520000000000007,0.014960000000000003,0.041800000000000004,0.11502000000000001,0.38415000000000005,0.12946996717385853,0.4053809256736188,0.07662437082987653,0.011359161691078857,0.02355639096145921
44,KC-3-C,11.6,3.39,0.95,2.03,4.07,-7.0483001564301695,1.0229736396542604,Bed 22,11.66,22,Dark grey - greenish black - olive black laminated shale,4.0,2,2,4,,10.44,1.1600000000000001,0.9,0.3898467432950192,0.3508620689655173,0.24570024570024568,0.10582000000000001,0.041800000000000004,0.08932,0.18306000000000003,0.87,0.233311247907168,0.9007408830512802,0.07043283554021827,0.013365690146295149,0.027851023504633515
45,KC-3-D,15.253,8.43,1.21,3.39,1.46,-8.396923068471288,1.0229736396542604,Bed 22,11.66,22,Dark grey - greenish black - olive black laminated shale,5.0,2,2,4,,14.490000000000002,0.7629999999999981,0.9499770536943554,0.10075914423740509,0.09571887497541468,0.684931506849315,0.03796,0.05324,0.14916000000000001,0.45522,1.143975,0.4834763832908491,1.2419453344753142,0.07798093075513968,0.0042621284414325,0.007598053117104979
46,KC-3-E,4.168,0.86,0.63,0.39,1.38,-14.815718155227074,1.0229736396542604,Bed 22,11.66,22,Dark grey - greenish black - olive black laminated shale,4.0,3,1,4,,3.26,0.9080000000000004,0.7821497120921305,0.4233128834355828,0.3310940499040307,0.7246376811594204,0.03588,0.02772,0.01716,0.04644,0.3126,0.06713353856307591,0.3197274964716047,0.06083232517599673,0.014040186174552324,0.026281861112287204
47,KC-3-F,5.192,2.15,0.3,1.45,0.98,-13.985319736635544,1.0229736396542604,Bed 22,11.66,22,Dark grey - greenish black - olive black laminated shale,4.0,4,1,4,,4.879999999999999,0.31200000000000117,0.9399075500770414,0.20081967213114757,0.18875192604006163,1.0204081632653061,0.025480000000000003,0.013200000000000002,0.06380000000000001,0.11610000000000001,0.3894,0.1355474839309089,0.4123172084694017,0.07517211740432284,0.007640424661601602,0.01498290865178491
48,KC-3-G,8.826,2.74,0.4,1.24,3.01,-8.657675425410378,1.0229736396542604,Bed 22,11.66,22,Dark grey - greenish black - olive black laminated shale,5.0,5,2,4,,7.39,1.4360000000000008,0.8372988896442328,0.40730717185385656,0.3410378427373668,0.33222591362126247,0.07826,0.0176,0.054560000000000004,0.14796000000000004,0.66195,0.17692750718867886,0.6851869418633137,0.06591937899971376,0.014395841254297619,0.027071187837581265
49,KC-3-H,3.0610000000000004,0.55,0.15,0.31,0.98,-15.664116001678494,1.0229736396542604,Bed 22,11.66,22,Dark grey - greenish black - olive black laminated shale,3.0,4,2,4,,1.99,1.0710000000000004,0.6501143417183926,0.4924623115577889,0.3201568114995099,1.0204081632653061,0.025480000000000003,0.006600000000000001,0.013640000000000001,0.029700000000000004,0.22957500000000003,0.04196343646557084,0.23337868502714643,0.05064915653323537,0.01648585581597946,0.025413675831449607
50,KC-3-I,4.072,0.58,0.23,0.69,1.09,-21.27875504842258,1.0229736396542604,Bed 22,11.66,22,Dark grey - greenish black - olive black laminated shale,1.0,4,2,4,,2.59,1.4820000000000002,0.6360510805500982,0.4208494208494209,0.2676817288801572,0.9174311926605504,0.028340000000000004,0.010120000000000002,0.03036,0.03132,0.3054,0.05299284857412367,0.30996354946993365,0.04944713007822528,0.01392391287470662,0.021248264723465707
51,KC-3-J,6.443,2.36,1.59,1.0,1.45,-9.487401367692172,1.0229736396542604,Bed 22,11.66,22,Dark grey - greenish black - olive black laminated shale,5.0,4,3,4,,6.4,0.04299999999999926,0.9933260903305915,0.22656249999999997,0.2250504423405246,0.6896551724137931,0.037700000000000004,0.06996000000000001,0.044000000000000004,0.12744,0.48322499999999996,0.15650126261471503,0.507936064702045,0.07835929514768797,0.008086615084688591,0.017864242714621077
52,KC-3-K,3.139,0.5,0.1,0.21,1.0,-16.45226955469372,1.0229736396542604,Bed 22,11.66,22,Dark grey - greenish black - olive black laminated shale,1.0,4,2,4,,1.81,1.3289999999999997,0.5766167569289583,0.5524861878453039,0.31857279388340237,1.0,0.026000000000000002,0.0044,0.00924,0.027000000000000003,0.23542499999999997,0.03885534197507468,0.23860986615184207,0.044982884719938,0.018628158011352938,0.025287938352935503
