name,d34S,d34S_err
KC-2-0,-19.82504792970343,0.5381447352028924
KC-2-1,-21.99077990465528,0.5381447352028924
KC-2-10,-9.997302598298827,0.5381447352028924
KC-2-11,-18.89831454509978,0.5381447352028924
KC-2-12,-5.54912143299703,0.5381447352028924
KC-2-13,-16.232994936222756,0.5381447352028924
KC-2-14,-18.61158648002932,0.5381447352028924
KC-2-14.5,-14.053473701076424,0.5381447352028924
KC-2-15,-20.798287954871423,0.5381447352028924
KC-2-15.5,-20.883988848242588,0.5381447352028924
KC-2-16,-21.44827038181139,0.5381447352028924
KC-2-17,-20.793216953407644,0.5381447352028924
KC-2-18,-24.376890866157968,0.5381447352028924
KC-2-19,-19.450279377884318,0.5381447352028924
KC-2-2,-16.03659904026132,0.5381447352028924
KC-2-2.5,-13.280366872109314,0.5381447352028924
KC-2-20,-20.73390757849772,0.5381447352028924
KC-2-21,-19.21563736102223,0.5381447352028924
KC-2-21.5,-20.317277067288952,0.5381447352028924
KC-2-22,-15.416585759466582,0.5381447352028924
KC-2-22p,-7.371646451298066,0.5381447352028924
KC-2-23,-22.026922953337753,0.5381447352028924
KC-2-24,-22.78606335772733,0.5381447352028924
KC-2-25,-21.613044924923184,0.5381447352028924
KC-2-25.5,-21.54015905655114,0.5381447352028924
KC-2-26,-19.228610940636692,0.5381447352028924
KC-2-26.5,-25.027155926158635,0.5381447352028924
KC-2-27,-22.078980018270343,0.5381447352028924
KC-2-28,-21.14005197073029,0.5381447352028924
KC-2-29,-15.669730933629626,0.5381447352028924
KC-2-3,-15.874718696950364,0.5381447352028924
KC-2-3.5,-18.15387654947001,0.5381447352028924
KC-2-4.5,-18.922421855984062,0.5381447352028924
KC-2-5,-20.316562350216593,0.5381447352028924
KC-2-6,-15.159482047798278,0.5381447352028924
KC-2-6.5,-20.607303705930153,0.5381447352028924
KC-2-6p,-14.52931188535678,0.5381447352028924
KC-2-7,-22.001317125851813,0.5381447352028924
KC-2-8,-11.360527476429988,0.5381447352028924
KC-2-9,-19.882941173216132,0.5381447352028924
KC-2-9p,-20.698524689439296,0.5381447352028924
KC-3-A,-14.519869221660056,0.5381447352028924
KC-3-B,-12.955881169697749,0.5381447352028924
KC-3-C,-8.239621713153838,0.5381447352028924
KC-3-D,-9.672048061751482,0.5381447352028924
KC-3-E,-16.496822064228915,0.5381447352028924
KC-3-F,-13.298644322575832,0.5381447352028924
KC-3-G,-9.128473237771466,0.5381447352028924
KC-3-H,-17.459577306421828,0.5381447352028924
KC-3-I,-20.624024958942396,0.5381447352028924
KC-3-J,-9.828125024913096,0.5381447352028924
KC-3-K,-16.997691358622497,0.5381447352028924
